source,target,weight,edge_in_prob_v,edge_out_prob_u
4,30,0.023224179,0.65643805,0.65643805
5,0,0.04178534,0.65643805,0.65643805
5,1,0.046065956,0.65643805,0.65643805
5,2,0.02555128,0.65643805,0.65643805
5,3,0.0412184,0.65643805,0.65643805
5,4,0.027571358,0.65643805,0.65643805
5,6,0.04604331,0.65643805,0.65643805
5,7,0.0244891,0.65643805,0.65643805
5,8,0.042719234,0.65643805,0.65643805
5,9,0.03127193,0.65643805,0.65643805
5,10,0.03474633,0.65643805,0.65643805
5,11,0.046675917,0.65643805,0.65643805
5,12,0.043101065,0.65643805,0.65643805
5,13,0.025209246,0.65643805,0.65643805
5,14,0.031989157,0.65643805,0.65643805
5,15,0.032111954,0.65643805,0.65643805
5,16,0.02523327,0.65643805,0.65643805
5,17,0.026817197,0.65643805,0.65643805
5,18,0.022865755,0.65643805,0.65643805
5,19,0.042441607,0.65643805,0.65643805
5,20,0.03329607,0.65643805,0.65643805
5,21,0.025621831,0.65643805,0.65643805
5,22,0.047354545,0.65643805,0.65643805
5,23,0.022400541,0.65643805,0.65643805
5,24,0.046826005,0.65643805,0.65643805
5,25,0.031276032,0.65643805,0.65643805
5,26,0.03249505,0.65643805,0.65643805
5,27,0.02654312,0.65643805,0.65643805
5,28,0.025390627,0.65643805,0.65643805
5,29,0.025215691,0.65643805,0.65643805
5,30,0.025672982,0.65643805,0.65643805
6,0,0.036405314,0.65643805,0.65643805
6,1,0.0609381,0.65643805,0.65643805
6,2,0.028856829,0.65643805,0.65643805
6,3,0.03525389,0.65643805,0.65643805
6,4,0.017025283,0.65643805,0.65643805
6,5,0.034667518,0.65643805,0.65643805
6,7,0.033294965,0.65643805,0.65643805
6,8,0.03833361,0.65643805,0.65643805
6,9,0.0201857,0.65643805,0.65643805
6,10,0.038017325,0.65643805,0.65643805
6,11,0.06173214,0.65643805,0.65643805
6,12,0.03959753,0.65643805,0.65643805
6,13,0.028586157,0.65643805,0.65643805
6,14,0.020912059,0.65643805,0.65643805
6,15,0.03339412,0.65643805,0.65643805
6,16,0.015479873,0.65643805,0.65643805
6,17,0.029563118,0.65643805,0.65643805
6,18,0.027581654,0.65643805,0.65643805
6,19,0.0528719,0.65643805,0.65643805
6,20,0.03546249,0.65643805,0.65643805
6,21,0.015706856,0.65643805,0.65643805
6,22,0.051633015,0.65643805,0.65643805
6,23,0.027383594,0.65643805,0.65643805
6,24,0.06177738,0.65643805,0.65643805
6,25,0.03188226,0.65643805,0.65643805
6,26,0.03405107,0.65643805,0.65643805
6,27,0.02942482,0.65643805,0.65643805
6,28,0.015570105,0.65643805,0.65643805
6,29,0.015467395,0.65643805,0.65643805
6,30,0.02894406,0.65643805,0.65643805
7,0,0.040386815,0.65643805,0.65643805
7,1,0.03065059,0.65643805,0.65643805
7,2,0.026387958,0.65643805,0.65643805
7,3,0.04042798,0.65643805,0.65643805
7,4,0.040141378,0.65643805,0.65643805
7,5,0.03079085,0.65643805,0.65643805
7,6,0.030287446,0.65643805,0.65643805
7,8,0.040321413,0.65643805,0.65643805
7,9,0.040541198,0.65643805,0.65643805
7,10,0.030982608,0.65643805,0.65643805
7,11,0.030544084,0.65643805,0.65643805
7,12,0.040108874,0.65643805,0.65643805
7,13,0.026176851,0.65643805,0.65643805
7,14,0.040596183,0.65643805,0.65643805
7,15,0.030694522,0.65643805,0.65643805
7,16,0.039743602,0.65643805,0.65643805
7,17,0.027273992,0.65643805,0.65643805
7,18,0.024358107,0.65643805,0.65643805
7,19,0.031464245,0.65643805,0.65643805
7,20,0.030821553,0.65643805,0.65643805
7,21,0.039827123,0.65643805,0.65643805
7,22,0.038414612,0.65643805,0.65643805
7,23,0.023991497,0.65643805,0.65643805
7,24,0.030640982,0.65643805,0.65643805
7,25,0.030620752,0.65643805,0.65643805
7,26,0.030736482,0.65643805,0.65643805
7,27,0.027077058,0.65643805,0.65643805
7,28,0.039778296,0.65643805,0.65643805
7,29,0.039742492,0.65643805,0.65643805
7,30,0.026470505,0.65643805,0.65643805
8,0,0.039155956,0.65643805,0.65643805
8,1,0.032679766,0.65643805,0.65643805
8,2,0.029271783,0.65643805,0.65643805
8,3,0.039147366,0.65643805,0.65643805
8,4,0.039178815,0.65643805,0.65643805
8,5,0.026026858,0.65643805,0.65643805
8,6,0.035776336,0.65643805,0.65643805
8,7,0.036915105,0.65643805,0.65643805
8,9,0.03916875,0.65643805,0.65643805
8,10,0.026001275,0.65643805,0.65643805
8,11,0.03584524,0.65643805,0.65643805
8,12,0.039097186,0.65643805,0.65643805
8,13,0.02950256,0.65643805,0.65643805
8,14,0.039172135,0.65643805,0.65643805
8,15,0.026011907,0.65643805,0.65643805
8,16,0.03925457,0.65643805,0.65643805
8,17,0.02843155,0.65643805,0.65643805
8,18,0.031864945,0.65643805,0.65643805
8,19,0.027262874,0.65643805,0.65643805
8,20,0.025996905,0.65643805,0.65643805
8,21,0.039236326,0.65643805,0.65643805
8,22,0.0384025,0.65643805,0.65643805
8,23,0.032447245,0.65643805,0.65643805
8,24,0.03578005,0.65643805,0.65643805
8,25,0.026069958,0.65643805,0.65643805
8,26,0.026010916,0.65643805,0.65643805
8,27,0.028606843,0.65643805,0.65643805
8,28,0.039249286,0.65643805,0.65643805
8,29,0.039250895,0.65643805,0.65643805
8,30,0.029184226,0.65643805,0.65643805
9,0,0.039848678,0.65643805,0.65643805
9,1,0.02154685,0.65643805,0.65643805
9,2,0.024741914,0.65643805,0.65643805
9,3,0.040614642,0.65643805,0.65643805
9,4,0.05995493,0.65643805,0.65643805
9,5,0.021650726,0.65643805,0.65643805
9,6,0.023054685,0.65643805,0.65643805
9,7,0.028745709,0.65643805,0.65643805
9,8,0.038495097,0.65643805,0.65643805
9,10,0.02120493,0.65643805,0.65643805
9,11,0.02291971,0.65643805,0.65643805
9,12,0.037750762,0.65643805,0.65643805
9,13,0.024981428,0.65643805,0.65643805
9,14,0.053760134,0.65643805,0.65643805
9,15,0.021834753,0.65643805,0.65643805
9,16,0.063341096,0.65643805,0.65643805
9,17,0.023984656,0.65643805,0.65643805
9,18,0.02710308,0.65643805,0.65643805
9,19,0.020223131,0.65643805,0.65643805
9,20,0.021530442,0.65643805,0.65643805
9,21,0.06278531,0.65643805,0.65643805
9,22,0.030282006,0.65643805,0.65643805
9,23,0.027654598,0.65643805,0.65643805
9,24,0.022877144,0.65643805,0.65643805
9,25,0.022100225,0.65643805,0.65643805
9,26,0.021735651,0.65643805,0.65643805
9,27,0.024135696,0.65643805,0.65643805
9,28,0.0631199,0.65643805,0.65643805
9,29,0.063365035,0.65643805,0.65643805
9,30,0.02465704,0.65643805,0.65643805
10,0,0.041116767,0.65643805,0.65643805
10,1,0.047815017,0.65643805,0.65643805
10,2,0.026315775,0.65643805,0.65643805
10,3,0.04046936,0.65643805,0.65643805
10,4,0.025251236,0.65643805,0.65643805
10,5,0.033993237,0.65643805,0.65643805
10,6,0.047707208,0.65643805,0.65643805
10,7,0.02557214,0.65643805,0.65643805
10,8,0.04218112,0.65643805,0.65643805
